time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/actor_loss
693,0,16,4,9.326243250000001,4.0,,,,,,
1057,0,32,8,9.29069925,4.0,,,,,,
1280,0,48,12,9.278053583333334,4.0,,,,,,
1451,0,64,16,9.265182375,4.0,,,,,,
1585,0,80,20,9.2664387,4.0,,,,,,
1685,0,96,24,9.265183208333333,4.0,,,,,,
1790,0,112,28,9.276125642857142,4.0,,,,,,
1876,0,128,32,9.28795078125,4.0,,,,,,
1920,0,144,36,9.287519694444445,4.0,,,,,,
1963,0,160,40,9.28178245,4.0,,,,,,
1987,0,176,44,9.274895977272728,4.0,,,,,,
2013,0,192,48,9.271176124999998,4.0,,,,,,
2034,0,208,52,9.274583576923076,4.0,,,,,,
2064,0,224,56,9.277801339285714,4.0,,,,,,
2084,0,240,60,9.277348866666665,4.0,,,,,,
2099,0,256,64,9.275481374999998,4.0,,,,,,
2107,0,273,68,9.27545226470588,4.014705882352941,,,,,,
2119,0,289,72,9.274972222222223,4.013888888888889,,,,,,
2134,0,305,76,9.276277421052633,4.0131578947368425,,,,,,
2152,0,321,80,9.276578899999999,4.0125,,,,,,
2167,0,337,84,9.27852645238095,4.011904761904762,,,,,,
2182,0,354,88,9.278478909090909,4.0227272727272725,,,,,,
2191,0,370,92,9.277377043478259,4.021739130434782,,,,,,
2192,0,386,96,9.275503520833333,4.020833333333333,,,,,,
2196,0,402,100,9.275224829999999,4.02,,,,,,
2214,0,418,104,9.27552741,4.02,,,,,,
2218,0,434,108,9.272817889999999,4.02,,,,,,
2239,0,450,112,9.2703299,4.02,,,,,,
2260,0,466,116,9.271869759999998,4.02,,,,,,
2278,0,483,120,9.26806878,4.03,,,,,,
2297,0,499,124,9.26969133,4.03,,,,,,
2310,0,515,128,9.26485272,4.03,,,,,,
2314,0,531,132,9.2611314,4.03,,,,,,
2330,0,547,136,9.26089914,4.03,,,,,,
2346,0,563,140,9.25992127,4.03,,,,,,
2358,0,579,144,9.262244519999998,4.03,,,,,,
2371,0,595,148,9.26380833,4.03,,,,,,
2382,0,611,152,9.263206880000002,4.03,,,,,,
2398,0,628,156,9.258178730000001,4.04,,,,,,
2411,0,644,160,9.25824478,4.04,,,,,,
2421,0,660,164,9.258867729999999,4.04,,,,,,
2433,0,676,168,9.25984233,4.03,,,,,,
2444,0,692,172,9.25814866,4.03,,,,,,
2452,0,708,176,9.25733276,4.03,,,,,,
2464,0,725,180,9.25699826,4.04,,,,,,
2475,0,741,184,9.256190880000002,4.04,,,,,,
2482,0,757,188,9.255144340000001,4.03,,,,,,
2493,0,773,192,9.25752628,4.03,,,,,,
2501,0,789,196,9.2564335,4.03,,,,,,
2509,0,805,200,9.25350422,4.03,,,,,,
2517,0,821,204,9.2539275,4.03,,,,,,
2525,0,837,208,9.25775311,4.03,,,,,,
2522,0,853,212,9.2580695,4.03,,,,,,
2529,0,869,216,9.26066726,4.03,,,,,,
2535,0,885,220,9.265309400000001,4.02,,,,,,
2543,0,901,224,9.26629749,4.02,,,,,,
2548,0,917,228,9.266746620000001,4.02,,,,,,
2554,0,933,232,9.266150990000002,4.02,,,,,,
2560,0,949,236,9.26288978,4.02,,,,,,
2568,0,965,240,9.26767045,4.02,,,,,,
2577,0,982,244,9.26773574,4.03,,,,,,
2583,0,998,248,9.26753706,4.03,,,,,,
1903,0,1015,252,9.26434223,4.04,0.9870808720588684,0.001,14,8.092565536499023,-0.043716151267290115,-5.792122840881348
1440,0,1031,256,9.270096540000003,4.03,0.9713889956474304,0.001,30,5.6691131591796875,-0.09739924222230911,-6.014229774475098
1165,0,1047,260,9.27119842,4.03,0.9559639692306519,0.001,46,4.034664154052734,-0.15139544010162354,-5.416784763336182
994,1,1063,264,9.272530210000001,4.03,0.9407839179039001,0.001,62,2.8034753799438477,-0.2033483386039734,-5.499566078186035
859,1,1079,268,9.27509587,4.03,0.9258637428283691,0.001,78,2.173574447631836,-0.25790637731552124,-5.823870658874512
764,1,1095,272,9.2784001,4.03,0.9111631512641907,0.001,94,1.3480385541915894,-0.31207820773124695,-6.026293754577637
690,1,1111,276,9.273326950000001,4.03,0.8966914415359497,0.001,110,0.6198317408561707,-0.36539143323898315,-6.099175453186035
636,1,1127,280,9.27427918,4.02,0.8824390172958374,0.001,126,0.4366868734359741,-0.4139255881309509,-6.444699764251709
587,1,1143,284,9.269939560000001,4.02,0.8684301972389221,0.001,142,0.22377672791481018,-0.4719996452331543,-6.7536396980285645
548,2,1159,288,9.27417424,4.02,0.8546305894851685,0.001,158,0.19658932089805603,-0.523902416229248,-6.988816261291504
